Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,0,
Sample Interval,4e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.05,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.0000e-04,-0.00478125,0.0628125
-1.9996e-04,-0.0045625,0.0584375
-1.9992e-04,-0.00452344,0.0596875
-1.9988e-04,-0.0045,0.0457813
-1.9984e-04,-0.00410156,0.0478125
-1.9980e-04,-0.0041875,0.0478125
-1.9976e-04,-0.00372656,0.045
-1.9972e-04,-0.00374219,0.03625
-1.9968e-04,-0.00366406,0.0326562
-1.9964e-04,-0.00339062,0.0365625
-1.9960e-04,-0.00374219,0.0290625
-1.9956e-04,-0.00366406,0.0326562
-1.9952e-04,-0.003625,0.0267187
-1.9948e-04,-0.00357031,0.0275
-1.9944e-04,-0.00348438,0.0139063
-1.9940e-04,-0.00378906,0.0234375
-1.9936e-04,-0.00282812,0.0223437
-1.9932e-04,-0.00286719,0.0146875
-1.9928e-04,-0.00326562,0.0226562
-1.9924e-04,-0.00249219,0.01875
-1.9920e-04,-0.00273437,0.00953125
-1.9916e-04,-0.00263281,0.0075
-1.9912e-04,-0.00205469,0.00875
-1.9908e-04,-0.00285156,0.003125
-1.9904e-04,-0.00233594,0.00921875
-1.9900e-04,-0.00245313,0.00078125
-1.9896e-04,-0.00203125,0.0110937
-1.9892e-04,-0.00205469,-0.00484375
-1.9888e-04,-0.00229688,-0.0015625
-1.9884e-04,-0.00177344,-0.0015625
-1.9880e-04,-0.00159375,-0.0071875
-1.9876e-04,-0.00132031,-0.0190625
-1.9872e-04,-0.0010625,-0.014375
-1.9868e-04,-0.00124219,-0.0190625
-1.9864e-04,-0.00103906,-0.0182812
-1.9860e-04,-0.001,-0.00921875
-1.9856e-04,-0.001,-0.029375
-1.9852e-04,-0.00115625,-0.0278125
-1.9848e-04,-0.000882813,-0.02625
-1.9844e-04,-0.000742188,-0.031875
-1.9840e-04,-0.000921875,-0.02625
-1.9836e-04,-0.000242187,-0.0354688
-1.9832e-04,-0.000601562,-0.0246875
-1.9828e-04,-0.000460937,-0.0365625
-1.9824e-04,-0.000265625,-0.0382813
-1.9820e-04,-6.25e-05,-0.0378125
-1.9816e-04,-0.000140625,-0.0442188
-1.9812e-04,0.000210937,-0.0445313
-1.9808e-04,-0.000320312,-0.0509375
-1.9804e-04,0.000234375,-0.0470313
-1.9800e-04,0.000132812,-0.0496875
-1.9796e-04,5.46875e-05,-0.0504687
-1.9792e-04,0.000414062,-0.0584375
-1.9788e-04,0.00046875,-0.0553125
-1.9784e-04,0.0008125,-0.0604688
-1.9780e-04,0.000273438,-0.0684375
-1.9776e-04,0.000609375,-0.06375
-1.9772e-04,0.000953125,-0.065625
-1.9768e-04,0.00075,-0.06375
-1.9764e-04,0.00107031,-0.0692187
-1.9760e-04,0.00110938,-0.0696875
-1.9756e-04,0.000953125,-0.0684375
-1.9752e-04,0.00146875,-0.08
-1.9748e-04,0.0011875,-0.08
